Original_Review,Cleaned_Review,Polarity,Subjectivity,VADER_Compound,Sentiment,Confidence_Score
I expected faster Trademark registration but faced delays.,i expected faster trademark registration but faced delays,-0.1,0.4,0.0,Neutral,0.05
Kwatra Legal LLP delivered exceptional legal guidance.,kwatra legal llp delivered exceptional legal guidance,0.35555555555555557,0.4666666666666666,0.25,Positive,0.3
The follow-up process was frustrating and unresponsive.,the followup process was frustrating and unresponsive,-0.4,0.9,-0.4404,Negative,0.42
varsSmooth end-to-end filing experience for my IPR application.,varssmooth endtoend filing experience for my ipr application,0.0,0.0,0.0,Neutral,0.0
Too many follow-ups were needed to get basic updates.,too many followups were needed to get basic updates,0.25,0.3125,0.0,Positive,0.12
Their clarity in handling objections was highly appreciated.,their clarity in handling objections was highly appreciated,0.2,0.1,0.7425,Positive,0.47
Unimpressed with their communication - lacked transparency.,unimpressed with their communication lacked transparency,0.0,0.0,-0.34,Neutral,0.17
Got the Trademark registered without any issues.,got the trademark registered without any issues,0.0,0.0,0.0,Neutral,0.0
Long waiting times and unclear instructions hurt the process.,long waiting times and unclear instructions hurt the process,-0.05,0.4,-0.6597,Neutral,0.35
Great experience with their GST and Trademark support team.,great experience with their gst and trademark support team,0.8,0.75,0.7783,Positive,0.79
"Initial consultation was helpful, but execution was slow.",initial consultation was helpful but execution was slow,-0.15000000000000002,0.19999999999999998,0.2263,Negative,0.19
They resolved my IPR objection professionally and quickly.,they resolved my ipr objection professionally and quickly,0.21666666666666667,0.3,0.1779,Positive,0.2
Was disappointed by the number of documents required.,was disappointed by the number of documents required,-0.75,0.75,-0.4215,Negative,0.59
Support staff was polite and explained legal terms clearly.,support staff was polite and explained legal terms clearly,0.15000000000000002,0.29166666666666663,0.7096,Positive,0.43
Filing process felt disorganized and required constant chasing.,filing process felt disorganized and required constant chasing,0.0,0.3333333333333333,-0.296,Neutral,0.15
Their strategy helped me avoid Trademark rejection.,their strategy helped me avoid trademark rejection,0.0,0.0,-0.6908,Neutral,0.35
Very little proactive communication from the legal team.,very little proactive communication from the legal team,-0.021875000000000006,0.42500000000000004,0.5082,Neutral,0.27
They made the opposition process stress-free and easy.,they made the opposition process stressfree and easy,0.43333333333333335,0.8333333333333334,0.4404,Positive,0.44
Instructions were vague; needed clarification multiple times.,instructions were vague needed clarification multiple times,-0.25,0.25,-0.1027,Negative,0.18
Highly recommended for IPR and Trademark legal work.,highly recommended for ipr and trademark legal work,0.18,0.37,0.3804,Positive,0.28
